medcode,readcode,Coding_ID,Cluster_ID,Cluster_Description,Cluster_Version,readterm,,,,
711,C10..,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus,,,,
758,C10F.,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus,,,,
1407,C10FJ,Read V2,DM_COD,Codes for diabetes,102,Insulin treated Type 2 diabetes mellitus,,,,
12640,C10FC,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with nephropathy,,,,
12736,C10F5,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with gangrene,,,,
18264,C109J,Read V2,DM_COD,Codes for diabetes,102,Insulin treated Type 2 diabetes mellitus,,,,
18278,C109J,Read V2,DM_COD,Codes for diabetes,102,Insulin treated Type 2 diabetes mellitus,,,,
18390,C10FM,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with persistent microalbuminuria,,,,
18425,C10FB,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with polyneuropathy,,,,
18496,C10F6,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with retinopathy,,,,
18777,C10F0,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with renal complications,,,,
22487,C10N.,Read V2,DM_COD,Codes for diabetes,102,Secondary diabetes mellitus,,,,
22884,C10F.,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus,,,,
25591,C10FQ,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with exudative maculopathy,,,,
25627,C10F7,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus - poor control,,,,
26054,C10FL,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with persistent proteinuria,,,,
32627,C10FN,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ketoacidosis,,,,
34268,C10F2,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with neurological complications,,,,
34450,C10FK,Read V2,DM_COD,Codes for diabetes,102,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,,,,
35385,C10FH,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with neuropathic arthropathy,,,,
36633,C109K,Read V2,DM_COD,Codes for diabetes,102,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,,,,
36695,C10D.,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus autosomal dominant type 2,,,,
37648,C109J,Read V2,DM_COD,Codes for diabetes,102,Insulin treated Type 2 diabetes mellitus,,,,
37806,C10FF,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with peripheral angiopathy,,,,
43227,C10F3,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with multiple complications,,,,
43453,C10C.,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus autosomal dominant,,,,
43857,C10M.,Read V2,DM_COD,Codes for diabetes,102,Lipoatrophic diabetes mellitus,,,,
44982,C10FE,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with diabetic cataract,,,,
46624,C10C.,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus autosomal dominant,,,,
46917,C10FD,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with hypoglycaemic coma,,,,
47315,C10F7,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus - poor control,,,,
47321,C10F1,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ophthalmic complications,,,,
47954,C10F9,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus without complication,,,,
49074,C10F4,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ulcer,,,,
49655,C10F6,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with retinopathy,,,,
50527,C10FB,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with polyneuropathy,,,,
51697,C10G.,Read V2,DM_COD,Codes for diabetes,102,Secondary pancreatic diabetes mellitus,,,,
51756,C10FP,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with ketoacidotic coma,,,,
53392,C10F9,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus without complication,,,,
57278,C10F0,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with renal complications,,,,
59253,C10FG,Read V2,DM_COD,Codes for diabetes,102,Type 2 diabetes mellitus with arthropathy,,,,
59991,C10D.,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus autosomal dominant type 2,,,,
61122,C10H.,Read V2,DM_COD,Codes for diabetes,102,Diabetes mellitus induced by non-steroid drugs,,,,
